,key,count
1790,校长,5
5911,争执,5
5912,抢夺,5
1961,落水,5
7770,裸聊,5
4074,隐患,5
4373,电瓶车,5
458,意识,5
1333,海南,5
3286,原创,5
1383,遇上,5
3407,个人,5
2535,李某,5
2787,跳楼,5
2514,大同,5
3411,忽悠,5
4415,方向,5
4410,重罚,5
1410,海口,5
69,品质,5
787,消息,5
6910,万吨,5
789,差点,5
1168,一家人,5
792,小哥,5
2793,这事,5
2867,闹事,5
2475,一地,5
2471,卖淫,5
3273,倒车,5
1370,盐城,5
668,人网,5
3461,仓库,5
316,行政拘留,5
210,泄漏,5
302,小学生,5
4712,车库,5
1411,霸占,5
2447,打死,5
1567,措施,5
317,宿迁,5
6906,缺德,5
1484,帮忙,5
329,身份证,5
4548,殃及,5
4170,狂奔,5
1498,指挥,5
2698,工厂,5
2697,昨天,5
2692,国道,5
4568,火情,5
518,违纪,5
1517,兄弟,5
2672,多少,5
1215,飙车,5
4598,火光冲天,5
2661,枪杀,5
4442,坠落,5
742,立马,5
3390,电缆,5
2636,虐待,5
4432,载客,5
4603,坍塌,5
2625,美容,5
6927,一氧化碳,5
1160,判决,5
2738,姑娘,5
755,惊现,5
2741,过程,5
1546,连环,5
2572,绑架,5
220,素质,5
809,检察,5
1369,暴打,5
829,争吵,5
1102,紧张,5
1613,好友,5
2439,湖北,5
2843,寻找,5
1105,年仅,5
2335,男人,5
1342,玩忽职守,5
832,多处,5
190,之后,5
4118,合格,5
2355,委员会,5
2374,进入,5
6822,精选,5
3529,周边,5
3235,报告,5
2837,住院,5
2820,再也,5
7493,毛钱,5
1588,出事,5
5134,脏乱差,5
3477,项俊波,5
4128,家里,5
6845,温州,5
2271,主播,5
6880,公平,5
2420,运城,5
2423,瘫痪,5
2268,村主任,5
8030,交警大队,4
7551,联联,4
1471,有钱,4
1737,地上,4
1797,溺亡,4
1518,群殴,4
7414,医德,4
1801,惊魂,4
8751,法律咨询,4
6716,可怜,4
9644,荣县,4
8063,三个,4
1802,站台,4
1322,动作,4
7104,村支书,4
6748,丛生,4
1512,是否,4
1814,农民,4
6410,销毁,4
1633,收购,4
8408,套牌,4
8238,国内,4
1616,期间,4
1461,大骂,4
7015,政策,4
1817,土地,4
1808,甘肃,4
6482,余人,4
8599,千米,4
8117,元旦,4
1671,一位,4
1286,生意,4
1405,总经理,4
1690,故障,4
1781,都市,4
1302,短信,4
6565,大学,4
